nta_code,nta_name,centroid_lat,centroid_lon
BK0101,Greenpoint,40.72949961875473,-73.94951662764281
BK0102,Williamsburg,40.71491433568764,-73.95862095293559
BK0103,South Williamsburg,40.703241980755315,-73.95665885781327
BK0104,East Williamsburg,40.71329975935244,-73.93648763829707
BK0201,Brooklyn Heights,40.69546550215166,-73.99483016824645
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,40.69490000994833,-73.98583046389649
BK0203,Fort Greene,40.69116938910556,-73.97436137362689
BK0204,Clinton Hill,40.6889986379508,-73.96446222319265
BK0301,Bedford-Stuyvesant (West),40.688956894289454,-73.95100175939116
BK0302,Bedford-Stuyvesant (East),40.68662136129166,-73.93179230147457
BK0401,Bushwick (West),40.700996033986435,-73.92527060338631
BK0402,Bushwick (East),40.69124488953674,-73.91296594157207
BK0501,Cypress Hills,40.682534535096615,-73.88205982424891
BK0502,East New York (North),40.67248467474861,-73.88948369050763
BK0503,East New York-New Lots,40.65972775174469,-73.88804493516064
BK0504,Spring Creek-Starrett City,40.65100686708654,-73.87639160605441
BK0505,East New York-City Line,40.67054058069211,-73.86609820400926
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.67812206558148,-74.00006521439433
BK0602,Park Slope,40.67183145784187,-73.97975949454583
BK0701,Windsor Terrace-South Slope,40.656044567885395,-73.98002503454912
BK0702,Sunset Park (West),40.65347082402641,-74.01011361017838
BK0703,Sunset Park (Central),40.64238979865066,-74.00787958170727
BK0801,Prospect Heights,40.67760453127363,-73.96757228975571
BK0802,Crown Heights (North),40.673863852754785,-73.94189634817995
BK0901,Crown Heights (South),40.66674596222122,-73.94600981489323
BK0902,Prospect Lefferts Gardens-Wingate,40.65975724490009,-73.94796185705357
BK1001,Bay Ridge,40.62667181272046,-74.02992714312909
BK1002,Dyker Heights,40.6239632792196,-74.01084498975753
BK1101,Bensonhurst,40.61326484427672,-73.99326536066333
BK1102,Bath Beach,40.60426029759239,-74.0074827045978
BK1103,Gravesend (West),40.59929249269996,-73.98573290077816
BK1201,Sunset Park (East)-Borough Park (West),40.64082694358581,-73.99938751820106
BK1202,Borough Park,40.632935654742475,-73.98954496743104
BK1203,Kensington,40.64113578244935,-73.97605165802162
BK1204,Mapleton-Midwood (West),40.61931855387499,-73.97331839118633
BK1301,Gravesend (South),40.58797803032973,-73.97795995035234
BK1302,Coney Island-Sea Gate,40.576965246962516,-73.98796588377168
BK1303,Brighton Beach,40.57907556496879,-73.9606939363897
BK1401,Flatbush,40.640666881732656,-73.95638920866479
BK1402,Flatbush (West)-Ditmas Park-Parkville,40.636526757953966,-73.96618978185829
BK1403,Midwood,40.620369290880255,-73.95559294973002
BK1501,Gravesend (East)-Homecrest,40.599082155854944,-73.96586908535282
BK1502,Madison,40.60491359589758,-73.94813559402222
