nta_code,nta_name,borough,noise_complaints,crime_count,park_count,total_acres,station_count,total_bikes,subway_stations,subway_lines,census_median_rent,median_income,total_population,median_age,college_rate,restaurant_count,cuisine_diversity,grade_a_count,osm_cafe,osm_culture,osm_entertainment,osm_fast_food,osm_fitness,osm_grocery,osm_library,osm_nightlife,osm_other,osm_amenity_count,redfin_median_rent,redfin_mean_rent,redfin_listing_count,redfin_median_sqft,redfin_median_bedrooms,noise_score,safety_score,parks_score,transit_score,restaurant_score,osm_score,vibrancy_score,composite_score,cluster,cluster_label,predicted_rent,rent_score,combined_transit,transit_plus_score,enhanced_composite,centroid_lat,centroid_lon
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,43,314,28,86.53099999999998,56.0,1353.0,0.0,0.0,2659.0,150854.0,61436,37.7,0.4,201,39,92,67.0,7.0,6.0,63.0,43.0,65.0,0.0,47.0,4.0,302.0,4650.0,4650.0,2.0,3000.0,2.0,0.8141592920353983,0.7227722772277227,0.5624999999999999,1.0,0.192,0.615071283095723,0.4035356415478615,0.7828715061771664,1,Quiet & Green,4251.585,0.6850510515751811,56.0,1.0,0.7417947954475341,40.67812206558148,-74.00006521439433
MN0303,East Village,Manhattan,94,332,49,24.239000000000008,39.0,1869.0,0.0,0.0,2145.5,79988.5,69294,34.7,0.4,478,58,217,90.0,14.0,13.0,124.0,14.0,73.0,0.0,141.0,5.0,474.0,6499.0,7051.0,12.0,765.0,2.0,0.588495575221239,0.7049504950495049,0.9999999999999999,0.6964285714285714,0.46900000000000003,0.965376782077393,0.7171883910386965,0.7327161851773041,1,Quiet & Green,5530.175,0.5236931669430143,39.0,0.6964285714285714,0.6945054123103216,40.725959077867394,-73.98208993940335
BK1001,Bay Ridge,Brooklyn,61,344,15,120.619,51.0,585.0,0.0,0.0,1797.5,86314.5,84567,42.0,0.3,214,35,91,50.0,1.0,1.0,97.0,12.0,75.0,0.0,17.0,1.0,254.0,2200.0,2140.0,5.0,550.0,1.0,0.7345132743362832,0.693069306930693,0.2916666666666667,0.9107142857142857,0.205,0.5173116089613035,0.3611558044806517,0.6775610154251834,1,Quiet & Green,2418.89,0.8988567937865434,51.0,0.9107142857142857,0.6939055459451396,40.62667181272046,-74.02992714312909
BK0102,Williamsburg,Brooklyn,92,350,30,81.31300000000002,37.0,1018.0,0.0,0.0,2657.0,126358.0,64311,32.6,0.4,333,55,153,68.0,4.0,6.0,42.0,15.0,54.0,0.0,79.0,1.0,269.0,1598.0,1598.0,2.0,1100.0,4.0,0.5973451327433629,0.6871287128712871,0.6041666666666666,0.6607142857142857,0.324,0.5478615071283095,0.4359307535641548,0.6414868018091316,1,Quiet & Green,3208.625,0.9513919190156209,37.0,0.6607142857142857,0.6688911134580565,40.71491433568764,-73.95862095293559
QN0101,Astoria (North)-Ditmars-Steinway,Queens,35,170,13,11.530000000000001,38.0,486.0,0.0,0.0,2117.0,97482.5,48793,35.7,0.3,126,36,64,27.0,1.0,0.0,30.0,10.0,38.0,0.0,20.0,0.0,126.0,3100.0,3400.0,6.0,900.0,2.0,0.8495575221238938,0.8653465346534653,0.24999999999999997,0.6785714285714285,0.11699999999999999,0.2566191446028513,0.18680957230142564,0.6916361980698702,1,Quiet & Green,3045.7539119017874,0.8203159088925736,38.0,0.6785714285714285,0.666810649455806,40.777408649550694,-73.90525697315958
BK0702,Sunset Park (West),Brooklyn,43,355,13,8.961000000000002,42.0,712.0,0.0,0.0,1737.5,76547.0,51321,35.0,0.2,152,31,80,36.0,0.0,0.0,86.0,9.0,108.0,1.0,22.0,2.0,264.0,2700.0,2700.0,2.0,850.0,2.0,0.8141592920353983,0.6821782178217822,0.24999999999999997,0.75,0.143,0.5376782077393075,0.34033910386965377,0.6456932883553843,1,Quiet & Green,2652.030673076923,0.8552229688454489,42.0,0.75,0.6564452362009465,40.65347082402641,-74.01011361017838
QN0203,Woodside,Queens,30,177,15,10.216999999999999,34.0,253.0,0.0,0.0,1836.5,71213.0,49495,38.8,0.2,114,24,42,17.0,0.0,0.0,19.0,2.0,53.0,0.0,21.0,0.0,112.0,3500.0,3500.0,1.0,,3.0,0.8716814159292036,0.8584158415841584,0.2916666666666667,0.6071428571428571,0.10500000000000001,0.2281059063136456,0.1665529531568228,0.6855641540765961,1,Quiet & Green,2988.8567027812287,0.785408848939698,34.0,0.6071428571428571,0.6517088579105037,40.743104529076206,-73.90141002214548
BK0104,East Williamsburg,Brooklyn,51,369,19,18.192000000000004,38.0,724.0,0.0,0.0,2154.0,72803.0,52600,33.2,0.3,202,42,91,34.0,9.0,2.0,27.0,5.0,45.0,0.0,53.0,0.0,175.0,,,,,,0.7787610619469026,0.6683168316831684,0.375,0.6785714285714285,0.193,0.3564154786150712,0.2747077393075356,0.6398281721345334,1,Quiet & Green,3129.1656099439774,0.902871105681124,38.0,0.6785714285714285,0.648143848189376,40.71329975935244,-73.93648763829707
QN0501,Maspeth,Queens,11,137,17,11.434,25.0,382.0,0.0,0.0,1985.0,89844.0,43574,39.9,0.2,67,21,29,11.0,0.0,0.0,24.0,3.0,24.0,0.0,9.0,0.0,71.0,2950.0,2950.0,1.0,,3.0,0.9557522123893806,0.898019801980198,0.3333333333333333,0.4464285714285714,0.058,0.1446028513238289,0.10130142566191445,0.6866178032152142,1,Quiet & Green,2899.93654757877,0.8334060563749018,25.0,0.4464285714285714,0.646288424735778,40.72306177256048,-73.90512129442645
QN0502,Ridgewood,Queens,67,249,8,17.284,44.0,330.0,0.0,0.0,1866.5,79731.0,69057,36.0,0.2,189,38,78,46.0,12.0,1.0,48.0,12.0,108.0,0.0,34.0,2.0,263.0,3600.0,3475.0,4.0,825.0,2.0,0.7079646017699115,0.7871287128712872,0.14583333333333331,0.7857142857142857,0.18,0.5356415478615071,0.3578207739307535,0.6387250023991021,1,Quiet & Green,2400.162642857143,0.7766820839514792,44.0,0.7857142857142857,0.6447018113265407,40.70567300334716,-73.90368884676867
